"title","author","journal","number","cites","year","cid","pubid"
"A Student's Guide to Bayesian Statistics","B Lambert","Sage Publications Ltd. London","",245,2018,"16984598066043047521","IjCSPb-OGe4C"
"The potential public health consequences of COVID-19 on malaria in Africa","E Sherrard-Smith, AB Hogan, A Hamlet, OJ Watson, C Whittaker, ...","Nature medicine","26 (9), 1411-1416",157,2020,"7992830518840875442,7243690302904645635","-f6ydRqryjwC"
"What does the COVID-19 pandemic mean for HIV, tuberculosis, and malaria control?","F Amimo, B Lambert, A Magit","Tropical medicine and health","48, 1-4",126,2020,"7826530816688378547","4DMP91E08xMC"
"Epidemiological and ecological determinants of Zika virus transmission in an urban setting","J Lourenço, M Maia de Lima, NR Faria, A Walker, MUG Kraemer, ...","Elife","6, e29820",90,2017,"11944617064798304829","2osOgNQ5qMEC"
"Monitoring the age of mosquito populations using near-infrared spectroscopy","B Lambert, MT Sikulu-Lord, VS Mayagaya, G Devine, F Dowell, ...","Scientific reports","8 (1), 5274",58,2018,"1398248350183701886","u-x6o8ySG0sC"
"Bayesian inference of agent-based models: a tool for studying kidney branching morphogenesis","B Lambert, AL MacLean, AG Fletcher, AN Combes, MH Little, HM Byrne","Journal of mathematical biology","76, 1673-1697",47,2018,"13536533562108450741","qjMakFHDy7sC"
"Context-specific emergence and growth of the SARS-CoV-2 Delta variant","JT McCrone, V Hill, S Bajaj, RE Pena, BC Lambert, R Inward, S Bhatt, ...","Nature","610 (7930), 154-160",44,2022,"3955561347865434789,6443329307624928916","J_g5lzvAfSwC"
"Probabilistic inference on noisy time series (PINTS)","M Clerx, M Robinson, B Lambert, CL Lei, S Ghosh, GR Mirams, ...","arXiv preprint arXiv:",":1812.07388",43,2018,"17453422562488409385,6433096831788685119","hqOjcs7Dif8C"
"Birds invest wingbeats to keep a steady head and reap the ultimate benefits of flying together","LA Taylor, GK Taylor, B Lambert, JA Walker, D Biro, SJ Portugal","PLoS biology","17 (6), e3000299",32,2019,"3687495290997938784,10284643958128844085","3fE2CSJIrl8C"
"Plasmodium falciparum resistance to sulfadoxine-pyrimethamine in Africa: a systematic analysis of national trends","F Amimo, B Lambert, A Magit, J Sacarlal, M Hashizume, K Shibuya","BMJ global health","5 (11), e003217",29,2020,"13478802460375042017","R3hNpaxXUhUC"
"Movement reveals reproductive tactics in male elephants","LA Taylor, F Vollrath, B Lambert, D Lunn, I Douglas‐Hamilton, ...","Journal of Animal Ecology","89 (1), 57-67",28,2020,"16143328675511206653","MXK_kJrjxJIC"
